# Kalshi Weather Bot — Paper Trading Results
# Generated: 2026-03-12
# $1,000 initial balance | GFS 31-member ensemble vs Kalshi market prices
# Running since: 2026-02-28

Cash Balance:    $3602.11
Equity:          $5782.31
Total P&L:       $+4782.31 (+478.2%)
Open Positions:  48
Closed Trades:   254
Win/Loss:        126W / 128L (49.6% win rate)
Avg Win:         $55.34
Avg Loss:        $17.11
Win/Loss Ratio:  3.23:1

=========================================================================================================
SETTLED TRADES
=========================================================================================================
Date         Ticker                         Side    Qty    In   Out      P&L
--------------------------------------------------------------------------
2026-02-28   KXHIGHNY-26MAR01-B42.5         yes     190    7¢  100¢ $+176.70
2026-02-28   KXHIGHNY-26MAR01-B40.5         yes     146   24¢    0¢ $ -35.04
2026-02-28   KXHIGHNY-26MAR01-B38.5         no       73   49¢  100¢ $ +37.23
2026-02-28   KXHIGHCHI-26MAR01-T29          yes     500    1¢    0¢ $  -5.00
2026-02-28   KXHIGHCHI-26MAR01-B29.5        yes     143    1¢    0¢ $  -1.43
2026-02-28   KXHIGHCHI-26MAR01-B31.5        no       70   56¢    0¢ $ -39.20
2026-02-28   KXHIGHCHI-26MAR01-B33.5        no       68   56¢  100¢ $ +29.92
2026-02-28   KXHIGHCHI-26MAR01-B35.5        no       54   75¢  100¢ $ +13.50
2026-02-28   KXHIGHLAX-26FEB28-B79.5        no      714    1¢    0¢ $  -7.14
2026-02-28   KXHIGHLAX-26FEB28-T80          yes     416    1¢    0¢ $  -4.16
2026-02-28   KXHIGHLAX-26MAR01-T78          yes     555    1¢    0¢ $  -5.55
2026-02-28   KXHIGHLAX-26MAR01-B73.5        no       70   53¢  100¢ $ +32.90
2026-02-28   KXHIGHLAX-26MAR01-B71.5        no       63   62¢  100¢ $ +23.94
2026-02-28   KXHIGHLAX-26MAR01-B75.5        no       60   64¢  100¢ $ +21.60
2026-02-28   KXHIGHDEN-26FEB28-B66.5        no      185   17¢    0¢ $ -31.45
2026-02-28   KXHIGHDEN-26FEB28-B68.5        no       62   47¢  100¢ $ +32.86
2026-02-28   KXHIGHDEN-26MAR01-T61          yes     500    1¢    0¢ $  -5.00
2026-02-28   KXHIGHDEN-26MAR01-B61.5        yes     250    7¢    0¢ $ -17.50
2026-02-28   KXHIGHDEN-26MAR01-B65.5        no       65   55¢  100¢ $ +29.25
2026-02-28   KXHIGHDEN-26MAR01-B63.5        no       69   57¢    0¢ $ -39.33
2026-02-28   KXHIGHAUS-26FEB28-B88.5        no      116    3¢  100¢ $+112.52
2026-02-28   KXHIGHAUS-26FEB28-B86.5        no       78    8¢    0¢ $  -6.24
2026-02-28   KXHIGHAUS-26MAR01-T81          yes     714    1¢    0¢ $  -7.14
2026-02-28   KXHIGHAUS-26MAR01-B81.5        yes     121    7¢    0¢ $  -8.47
2026-02-28   KXHIGHAUS-26MAR01-B83.5        no       80   35¢  100¢ $ +52.00
2026-02-28   KXHIGHAUS-26MAR01-B85.5        no       64   49¢    0¢ $ -31.36
2026-03-01   KXHIGHNY-26MAR01-B42.5         no      149    1¢    0¢ $  -1.49
2026-03-01   KXHIGHNY-26MAR01-B44.5         no       24   74¢  100¢ $  +6.24
2026-03-01   KXHIGHNY-26MAR02-B30.5         yes      76    3¢    0¢ $  -2.28
2026-03-01   KXHIGHNY-26MAR02-B32.5         yes      22   13¢  100¢ $ +19.14
2026-03-01   KXHIGHNY-26MAR02-T35           no       23   70¢  100¢ $  +6.90
2026-03-01   KXHIGHNY-26MAR02-B34.5         no       26   66¢  100¢ $  +8.84
2026-03-01   KXHIGHCHI-26MAR02-T40          yes     231    1¢    0¢ $  -2.31
2026-03-01   KXHIGHCHI-26MAR02-B40.5        yes     189    1¢  100¢ $+187.11
2026-03-01   KXHIGHCHI-26MAR02-B44.5        no       27   62¢  100¢ $ +10.26
2026-03-01   KXHIGHCHI-26MAR02-B46.5        no       26   61¢  100¢ $ +10.14
2026-03-01   KXHIGHCHI-26MAR02-T47          no       25   67¢  100¢ $  +8.25
2026-03-01   KXHIGHCHI-26MAR02-B42.5        no       25   57¢  100¢ $ +10.75
2026-03-01   KXHIGHLAX-26MAR01-B77.5        yes      29    3¢  100¢ $ +28.13
2026-03-01   KXHIGHLAX-26MAR02-B68.5        no       32   49¢  100¢ $ +16.32
2026-03-01   KXHIGHLAX-26MAR02-B66.5        no       26   50¢  100¢ $ +13.00
2026-03-01   KXHIGHLAX-26MAR02-B70.5        no       26   59¢  100¢ $ +10.66
2026-03-01   KXHIGHLAX-26MAR02-B72.5        no       22   73¢  100¢ $  +5.94
2026-03-01   KXHIGHDEN-26MAR02-T68          yes     208    1¢    0¢ $  -2.08
2026-03-01   KXHIGHDEN-26MAR02-B70.5        no       30   49¢    0¢ $ -14.70
2026-03-01   KXHIGHDEN-26MAR02-B72.5        no       29   41¢  100¢ $ +17.11
2026-03-01   KXHIGHDEN-26MAR02-B74.5        no       23   60¢  100¢ $  +9.20
2026-03-01   KXHIGHAUS-26MAR02-T80          yes     173    1¢    0¢ $  -1.73
2026-03-01   KXHIGHAUS-26MAR02-B84.5        no       31   48¢  100¢ $ +16.12
2026-03-01   KXHIGHAUS-26MAR02-B80.5        yes      35    1¢    0¢ $  -0.35
2026-03-01   KXHIGHAUS-26MAR02-B82.5        no       28   42¢  100¢ $ +16.24
2026-03-01   KXHIGHAUS-26MAR02-B86.5        no       22   56¢    0¢ $ -12.32
2026-03-02   KXHIGHNY-26MAR02-B34.5         yes      95    3¢    0¢ $  -2.85
2026-03-02   KXHIGHNY-26MAR02-B32.5         no       38   30¢    0¢ $ -11.40
2026-03-02   KXHIGHNY-26MAR02-B30.5         no       19   68¢  100¢ $  +6.08
2026-03-02   KXHIGHNY-26MAR03-T39           yes      73    1¢  100¢ $ +72.27
2026-03-02   KXHIGHNY-26MAR03-B39.5         no       23   51¢  100¢ $ +11.27
2026-03-02   KXHIGHNY-26MAR03-B41.5         no       21   58¢  100¢ $  +8.82
